province_code,province_name,city_name,city_code,Latitude,Longitude,city_name_zh,city_name_zh2,province_name_zh,province_name_en,,,,,,,
430000 ,Hunan Province,Yongzhou,431100,26.2167 ,111.6167 ,永州,永州,湖南,Hunan Province,,,,,,,
430000 ,Hunan Province,Huaihua,431200,27.5494 ,109.9592 ,怀化,怀化,湖南,Hunan Province,,,,,,,
430000 ,Hunan Province,Loudi,431300,27.7344 ,111.9994 ,娄底,娄底,湖南,Hunan Province,,,,,,,
430000 ,Hunan Province,Xiangxi ,433100,28.7057 ,109.7333 ,湘西土家族苗族自治州,湘西,湖南,Hunan Province,,,,,,,
440000 ,Guangdong Province,Guangzhou,440100,23.1167 ,113.2500 ,广州,广州,广东,Guangdong Province,,,,,,,
440000 ,Guangdong Province,Shaoguan,440200,24.8000 ,113.5833 ,韶关,韶关,广东,Guangdong Province,,,,,,,
440000 ,Guangdong Province,Shenzhen,440300,22.5455 ,114.0683 ,深圳,深圳,广东,Guangdong Province,,,,,,,
440000 ,Guangdong Province,Zhuhai,440400,22.2769 ,113.5678 ,珠海,珠海,广东,Guangdong Province,,,,,,,
440000 ,Guangdong Province,Shantou,440500,23.3667 ,116.7167 ,汕头,汕头,广东,Guangdong Province,,,,,,,
440000 ,Guangdong Province,Foshan,440600,23.0333 ,113.1167 ,佛山,佛山,广东,Guangdong Province,,,,,,,
440000 ,Guangdong Province,Jiangmen,440700,22.5833 ,113.0833 ,江门,江门,广东,Guangdong Province,,,,,,,
440000 ,Guangdong Province,Zhanjiang,440800,21.2000 ,110.3833 ,湛江,湛江,广东,Guangdong Province,,,,,,,
440000 ,Guangdong Province,Maoming,440900,21.6667 ,110.9333 ,茂名,茂名,广东,Guangdong Province,,,,,,,
440000 ,Guangdong Province,Zhaoqing,441200,23.0500 ,112.4667 ,肇庆,肇庆,广东,Guangdong Province,,,,,,,
440000 ,Guangdong Province,Huizhou,441300,23.1167 ,114.4167 ,惠州,惠州,广东,Guangdong Province,,,,,,,
440000 ,Guangdong Province,Meizhou,441400,24.3000 ,116.1167 ,梅州,梅州,广东,Guangdong Province,,,,,,,
